intitule_cours,type_cours,groupe_eleve,code_cours,date,date_only,heure,jour_semaine,civilité,code_eleve,groupes
Fondamentaux BD relat.,CMTD,G2,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,22302569,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,G2,XA1S506C,17/11/2025 08:00,2025-11-17,08:00:00,lundi,Ingé Informatique 3ème année,22302569,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22301636,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,G1,XA1S504C,15/09/2025 14:00,2025-09-15,14:00:00,lundi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,16/09/2025 14:00,2025-09-16,14:00:00,mardi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,06/10/2025 14:00,2025-10-06,14:00:00,lundi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,07/10/2025 14:00,2025-10-07,14:00:00,mardi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,13/10/2025 15:45,2025-10-13,15:45:00,lundi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,17/10/2025 08:00,2025-10-17,08:00:00,vendredi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,23/10/2025 11:30,2025-10-23,11:30:00,jeudi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
