"Date";"Heure_Debut_Journee";"Heure_Fin_Journee";"Total_Heures_Cours";"nombre_absents";"Amplitude"
2025-09-02;"08:00";"18:30";9;0;10,5
2025-09-03;"13:15";"17:45";4;0;4,5
2025-09-04;"08:00";"17:15";7,5;0;9,25
2025-09-05;"08:00";"17:15";7,5;0;9,25
2025-09-08;"08:00";"13:00";4,5;2;5
2025-09-09;"08:00";"17:15";6,5;0;9,25
2025-09-10;"08:00";"17:15";7,5;0;9,25
2025-09-11;"09:45";"13:00";3;0;3,25
2025-09-12;"08:00";"17:15";7,5;0;9,25
2025-09-15;"08:00";"19:00";8,75;8;11
2025-09-16;"08:00";"18:15";8,25;12;10,25
2025-09-17;"08:00";"18:00";8,25;0;10
2025-09-18;"08:00";"15:30";5,25;0;7,5
2025-09-19;"08:45";"17:15";6,75;2;8,5
2025-09-22;"14:00";"17:15";3;0;3,25
2025-09-23;"09:00";"16:15";6;0;7,25
2025-09-24;"08:45";"18:00";7,5;10;9,25
2025-09-25;"08:00";"13:00";4,5;1;5
2025-09-26;"08:00";"18:45";8,75;0;10,75
2025-09-29;"09:45";"17:15";6;6;7,5
2025-09-30;"08:30";"17:15";7;1;8,75
2025-10-01;"08:45";"18:00";7,5;2;9,25
2025-10-02;"08:00";"09:30";1,5;1;1,5
2025-10-03;"14:00";"17:45";3;0;3,75
2025-10-04;"09:45";"13:00";3;0;3,25
2025-10-06;"09:45";"17:15";6;8;7,5
2025-10-07;"08:00";"17:15";7,5;11;9,25
2025-10-08;"08:00";"18:15";8,5;7;10,25
2025-10-09;"08:00";"13:00";4,5;0;5
2025-10-10;"08:00";"17:15";7,5;4;9,25
2025-10-13;"08:00";"17:15";7,5;9;9,25
2025-10-14;"08:00";"17:15";7,5;11;9,25
2025-10-15;"08:00";"18:00";7,5;4;10
2025-10-16;"08:00";"20:00";11,5;0;12
2025-10-17;"08:00";"15:30";6;8;7,5
2025-10-20;"08:00";"17:15";7,5;15;9,25
2025-10-21;"08:00";"17:15";7,5;0;9,25
2025-10-22;"08:45";"18:00";7,5;7;9,25
2025-10-23;"08:00";"13:00";4,5;6;5
2025-10-24;"08:00";"17:15";7,5;33;9,25
2025-11-03;"08:00";"18:45";9;12;10,75
2025-11-04;"08:00";"18:30";8,75;14;10,5
2025-11-05;"08:00";"18:00";8;12;10
2025-11-06;"08:00";"13:00";4,5;0;5
2025-11-07;"08:00";"17:15";7,5;0;9,25
2025-11-10;"08:00";"19:15";9,5;2;11,25
2025-11-12;"08:00";"14:45";5,75;2;6,75
2025-11-13;"08:00";"16:30";4;0;8,5
2025-11-14;"08:00";"17:15";4,5;0;9,25
2025-11-17;"08:00";"17:15";7,75;4;9,25
2025-11-18;"08:30";"19:45";5;0;11,25
2025-11-19;"08:30";"17:00";4,5;0;8,5
2025-11-20;"08:30";"16:30";6;0;8
2025-11-21;"08:00";"15:00";5;0;7
2025-11-24;"08:00";"17:15";7,5;6;9,25
2025-11-25;"08:00";"19:00";9;36;11
2025-11-26;"08:45";"18:00";7,5;0;9,25
2025-11-27;"08:00";"15:00";5,5;1;7
2025-11-28;"08:00";"17:15";7,5;0;9,25
2025-12-01;"08:00";"17:15";7,5;2;9,25
2025-12-02;"08:00";"17:15";7,5;0;9,25
2025-12-03;"08:45";"18:00";7,5;5;9,25
2025-12-04;"08:00";"20:15";14,25;0;12,25
2025-12-05;"08:00";"20:00";9,5;0;12
2025-12-08;"08:00";"18:30";8,5;0;10,5
2025-12-09;"08:00";"19:00";9;0;11
2025-12-10;"08:00";"17:15";7,5;0;9,25
2025-12-11;"08:00";"13:00";4,5;0;5
2025-12-12;"08:00";"17:15";7,5;0;9,25
2025-12-15;"08:00";"17:15";7,5;0;9,25
2025-12-16;"08:00";"17:15";7,5;0;9,25
2025-12-17;"08:00";"15:45";6,5;0;7,75
2025-12-18;"08:00";"13:00";4,5;0;5
2025-12-19;"08:00";"17:15";7,5;0;9,25
2026-01-05;"08:00";"17:15";7,5;0;9,25
2026-01-06;"08:00";"18:15";8,5;0;10,25
2026-01-07;"08:00";"17:15";7,5;0;9,25
2026-01-08;"08:00";"13:00";4,5;0;5
2026-01-09;"08:00";"17:15";7,5;0;9,25
2026-01-12;"08:00";"18:45";9;0;10,75
2026-01-13;"08:00";"17:15";7,5;0;9,25
2026-01-14;"08:00";"17:15";7,5;-Inf;9,25
2026-01-15;"08:00";"13:00";4,5;-Inf;5
2026-01-16;"08:00";"15:30";6,5;-Inf;7,5
2026-01-19;"08:00";"16:00";6,5;-Inf;8
2026-01-20;"08:00";"17:00";7,5;-Inf;9
2026-01-21;"09:45";"16:00";5;-Inf;6,25
2026-01-22;"08:00";"13:00";4,5;-Inf;5
2026-01-26;"08:00";"18:00";8,5;-Inf;10
2026-01-28;"08:00";"20:00";12;-Inf;12
2026-01-29;"08:00";"20:00";12;-Inf;12
2026-01-30;"08:00";"20:00";12;-Inf;12
2026-01-31;"08:00";"20:00";12;-Inf;12
2026-02-02;"08:00";"13:00";4,5;-Inf;5
2026-02-03;"08:00";"17:15";7,5;-Inf;9,25
2026-02-04;"08:45";"18:00";7,5;-Inf;9,25
2026-02-05;"08:00";"11:15";3;-Inf;3,25
2026-02-06;"08:00";"13:00";4,5;-Inf;5
2026-02-09;"08:00";"17:15";7,5;-Inf;9,25
2026-02-10;"09:45";"17:15";6;-Inf;7,5
2026-02-11;"08:00";"18:00";7,5;-Inf;10
2026-02-12;"08:00";"13:00";4,5;-Inf;5
2026-02-13;"08:00";"17:15";7,5;-Inf;9,25
