date,heure,type,intitule_cours,code_cours
2025-09-30,08:30:00,examen,Shell & CLI Exam,XA1S500C
2025-10-15,08:00:00,examen,Algorithmique avancée 1 Exam,XA1S712C
2025-10-21,14:00:00,examen,Finance d'entreprise EXAM,XA1S730C
2025-10-23,09:45:00,examen,DI - EXAMEN Droit de l'informatique nouvelles techno,XAIG95C
2025-11-05,11:30:00,examen,O2 - Cryptographie Exam,XAIG940C
2025-11-05,12:30:00,examen,Compta des entreprises EXAM,XA1S531C
2025-11-12,08:00:00,examen,Software Design Exam,XA1S710C
2025-11-21,08:00:00,examen,Fondamentaux BD relat. Exam,XA1S514C
2025-11-21,13:00:00,examen,Modélisation et stat Exam,XA1S523C
2025-11-24,08:00:00,examen,ID - EXAMEN Introduction au Droit,XAIG925C
2025-11-24,08:30:00,examen,CPO2 Exam,XA1S713C
2025-12-02,08:00:00,examen,WEB SEM - Exam,XAIG915C
2025-12-10,14:00:00,examen,Algorithmique avancée 1 Exam,XA1S712C
2025-12-17,08:00:00,examen,AI & Multi-agents Exam,XA1S721C
2025-12-17,13:45:00,examen,Compta des entreprises EXAM,XA1S531C
2025-12-17,15:45:00,examen,Finance d'entreprise EXAM,XA1S730C
2026-01-06,14:00:00,examen,Culture éco Exam,XA1S530C
2026-01-08,16:00:00,examen,Management SI EXAM,XA1S731C
2026-01-09,08:00:00,examen,Optim science données Exam,XA1S524C
2026-01-09,14:00:00,examen,Statistical learning Exam,XA1S723C
