code_cours,intitule_cours,categorie_cours,niveau
XA1S514C,Fondamentaux BD relat.,SI,DaMS3
XA1S506C,Projet C,Pj,DaMS3
XA1S504C,Intro prog C,Pr,DaMS3
XA1S523C,Modélisation et stat,DS/M,DaMS3
XA1S511C,Algo.et Types abstrait 1,Pr,DaMS3
XA1S522C,Maths pour info,DS/M,DaMS3
XA1S524C,Optim science données,DS/M,DaMS3
XA1S534C,Anglais S5,Cult,DaMS3
XA1S530C,Culture éco,Cult,DaMS3
XA1S500C,Shell & CLI,SI,DaMS3
XA1S710C,Software Design,Pr,DaMS4
XA1S726C,Fond.du machine learning,DS/M,DaMS4
XA1S705C,Entrepôts de données,SI,DaMS4
XA1S735C,Anglais S7,Cult,DaMS4
XAIG900C,IWA Ingénierie des Applications Web 2,Pr,DaMS5
XAIG910C,GSI Gouvernance des SI,Cult,DaMS5
XAIG924C,DI droit des nouvelles techno,Cult,DaMS5
XAIG915C,WEB SEM,DS/M,DaMS5
XAIG94C,O2 Cryptographie,DS/M,DaMS5
XAIG903C,GP Gestion projets SCM,Cult,DaMS5
XAIG923C,Softskills,Cult,DaMS5
XAIG904C,Intro quantique groupe 1,DS/M,DaMS5
XAIG912C,SSI Sécurité des Systèmes d'Information-crypto,SI,DaMS5
XAIG925C,ID Introduction au Droit,Cult,DaMS5
